Temperature (C),Date,most_freq_summary
9.472222222,31.3.2006,Mostly Cloudy
9.377777778,1.4.2006,Partly Cloudy
10.42222222,9.4.2006,Partly Cloudy
11.18333333,10.4.2006,Mostly Cloudy
8.633333333,11.4.2006,Overcast
7.311111111,12.4.2006,Overcast
5.438888889,13.4.2006,Overcast
8.338888889,14.4.2006,Mostly Cloudy
11.02777778,15.4.2006,Mostly Cloudy
10.82777778,16.4.2006,Mostly Cloudy
8.977777778,17.4.2006,Partly Cloudy
13.01111111,18.4.2006,Partly Cloudy
10.40555556,19.4.2006,Overcast
8.722222222,2.4.2006,Partly Cloudy
12.15555556,20.4.2006,Foggy
9.438888889,21.4.2006,Partly Cloudy
9.861111111,22.4.2006,Partly Cloudy
10.25,23.4.2006,Partly Cloudy
12.38333333,24.4.2006,Partly Cloudy
11.81111111,25.4.2006,Mostly Cloudy
13.78888889,26.4.2006,Mostly Cloudy
13.60555556,27.4.2006,Mostly Cloudy
11.58888889,28.4.2006,Mostly Cloudy
10.82777778,29.4.2006,Mostly Cloudy
9.188888889,3.4.2006,Partly Cloudy
11.88888889,30.4.2006,Mostly Cloudy
4.911111111,4.4.2006,Partly Cloudy
9.272222222,5.4.2006,Overcast
5.666666667,6.4.2006,Overcast
4.011111111,7.4.2006,Partly Cloudy
5.066666667,8.4.2006,Clear
21.01666667,31.7.2006,Clear
20.72222222,1.8.2006,Mostly Cloudy
15.56111111,9.8.2006,Partly Cloudy
16.53888889,10.8.2006,Mostly Cloudy
15.84444444,11.8.2006,Partly Cloudy
16.21111111,12.8.2006,Mostly Cloudy
16.26666667,13.8.2006,Overcast
17.01111111,14.8.2006,Mostly Cloudy
15.30555556,15.8.2006,Partly Cloudy
17.84444444,16.8.2006,Partly Cloudy
19.87777778,17.8.2006,Clear
19.50555556,18.8.2006,Mostly Cloudy
20.95555556,19.8.2006,Clear
16.81111111,2.8.2006,Mostly Cloudy
18.78333333,20.8.2006,Clear
14.98888889,21.8.2006,Mostly Cloudy
13.20555556,22.8.2006,Partly Cloudy
13.24444444,23.8.2006,Partly Cloudy
15.18888889,24.8.2006,Partly Cloudy
14.76111111,25.8.2006,Mostly Cloudy
15.09444444,26.8.2006,Partly Cloudy
16.72222222,27.8.2006,Partly Cloudy
13.35,28.8.2006,Mostly Cloudy
12.0,29.8.2006,Partly Cloudy
19.36111111,3.8.2006,Mostly Cloudy
11.32222222,30.8.2006,Overcast
13.46111111,31.8.2006,Mostly Cloudy
15.82777778,4.8.2006,Mostly Cloudy
13.65,5.8.2006,Partly Cloudy
15.40555556,6.8.2006,Partly Cloudy
16.18888889,7.8.2006,Mostly Cloudy
14.93333333,8.8.2006,Partly Cloudy
6.572222222,30.11.2006,Overcast
6.627777778,1.12.2006,Overcast
9.044444444,9.12.2006,Partly Cloudy
2.633333333,10.12.2006,Clear
2.205555556,11.12.2006,Foggy
0.1,12.12.2006,Foggy
0.377777778,13.12.2006,Foggy
-0.894444444,14.12.2006,Foggy
-1.566666667,15.12.2006,Foggy
-1.744444444,16.12.2006,Foggy
0.633333333,17.12.2006,Foggy
2.5,18.12.2006,Overcast
1.816666667,19.12.2006,Overcast
-0.288888889,2.12.2006,Mostly Cloudy
-0.127777778,20.12.2006,Mostly Cloudy
1.005555556,21.12.2006,Clear
0.683333333,22.12.2006,Clear
-1.777777778,23.12.2006,Foggy
1.15,24.12.2006,Foggy
1.938888889,25.12.2006,Overcast
1.933333333,26.12.2006,Partly Cloudy
-5.461111111,27.12.2006,Clear
-5.094444444,28.12.2006,Foggy
-3.0,29.12.2006,Foggy
3.944444444,3.12.2006,Foggy
-4.177777778,30.12.2006,Clear
-2.638888889,31.12.2006,Foggy
6.272222222,4.12.2006,Overcast
5.661111111,5.12.2006,Foggy
5.783333333,6.12.2006,Clear
4.755555556,7.12.2006,Partly Cloudy
6.422222222,8.12.2006,Partly Cloudy
-2.144444444,31.1.2006,Overcast
-2.466666667,1.2.2006,Overcast
-2.783333333,9.2.2006,Foggy
-1.277777778,10.2.2006,Foggy
-4.25,11.2.2006,Foggy
-3.394444444,12.2.2006,Overcast
-3.655555556,13.2.2006,Partly Cloudy
-2.4,14.2.2006,Mostly Cloudy
-0.894444444,15.2.2006,Foggy
3.111111111,16.2.2006,Foggy
0.916666667,17.2.2006,Mostly Cloudy
2.322222222,18.2.2006,Mostly Cloudy
3.827777778,19.2.2006,Partly Cloudy
-4.466666667,2.2.2006,Foggy
5.733333333,20.2.2006,Mostly Cloudy
5.527777778,21.2.2006,Overcast
2.344444444,22.2.2006,Mostly Cloudy
1.244444444,23.2.2006,Mostly Cloudy
2.561111111,24.2.2006,Overcast
1.066666667,25.2.2006,Overcast
-1.683333333,26.2.2006,Overcast
-3.527777778,27.2.2006,Mostly Cloudy
-3.75,28.2.2006,Overcast
-3.5,3.2.2006,Overcast
-4.855555556,4.2.2006,Overcast
-8.477777778,5.2.2006,Clear
-10.30555556,6.2.2006,Clear
-5.577777778,7.2.2006,Mostly Cloudy
-2.0,8.2.2006,Overcast
0.577777778,31.12.2005,Partly Cloudy
1.161111111,1.1.2006,Mostly Cloudy
-1.205555556,9.1.2006,Partly Cloudy
-2.872222222,10.1.2006,Mostly Cloudy
-1.45,11.1.2006,Mostly Cloudy
-0.555555556,12.1.2006,Mostly Cloudy
-0.677777778,13.1.2006,Foggy
-3.605555556,14.1.2006,Mostly Cloudy
-3.644444444,15.1.2006,Mostly Cloudy
-4.116666667,16.1.2006,Overcast
-2.144444444,17.1.2006,Overcast
1.227777778,18.1.2006,Overcast
-4.211111111,19.1.2006,Partly Cloudy
2.35,2.1.2006,Overcast
-1.733333333,20.1.2006,Mostly Cloudy
0.305555556,21.1.2006,Mostly Cloudy
-9.483333333,22.1.2006,Mostly Cloudy
-11.58333333,23.1.2006,Overcast
-12.7,24.1.2006,Clear
-11.1,25.1.2006,Clear
-10.37222222,26.1.2006,Partly Cloudy
-8.927777778,27.1.2006,Partly Cloudy
-1.883333333,28.1.2006,Mostly Cloudy
-0.494444444,29.1.2006,Partly Cloudy
1.733333333,3.1.2006,Overcast
-0.605555556,30.1.2006,Overcast
1.7,4.1.2006,Overcast
2.633333333,5.1.2006,Overcast
2.272222222,6.1.2006,Overcast
0.294444444,7.1.2006,Foggy
-4.094444444,8.1.2006,Clear
17.77777778,30.6.2006,Partly Cloudy
17.21666667,1.7.2006,Mostly Cloudy
16.71666667,9.7.2006,Partly Cloudy
17.61111111,10.7.2006,Partly Cloudy
18.5,11.7.2006,Partly Cloudy
18.46111111,12.7.2006,Partly Cloudy
18.02222222,13.7.2006,Partly Cloudy
19.84444444,14.7.2006,Partly Cloudy
18.16111111,15.7.2006,Mostly Cloudy
16.40555556,16.7.2006,Mostly Cloudy
13.34444444,17.7.2006,Partly Cloudy
15.61111111,18.7.2006,Clear
17.11666667,19.7.2006,Clear
17.85555556,2.7.2006,Mostly Cloudy
19.4,20.7.2006,Clear
21.27777778,21.7.2006,Clear
20.88333333,22.7.2006,Partly Cloudy
20.76666667,23.7.2006,Partly Cloudy
19.80555556,24.7.2006,Clear
20.35,25.7.2006,Partly Cloudy
20.25,26.7.2006,Partly Cloudy
20.9,27.7.2006,Mostly Cloudy
20.79444444,28.7.2006,Partly Cloudy
20.2,29.7.2006,Partly Cloudy
18.3,3.7.2006,Overcast
19.01666667,30.7.2006,Partly Cloudy
15.37777778,4.7.2006,Partly Cloudy
15.21666667,5.7.2006,Partly Cloudy
18.06111111,6.7.2006,Partly Cloudy
19.26111111,7.7.2006,Clear
17.93888889,8.7.2006,Partly Cloudy
7.277777778,31.5.2006,Partly Cloudy
10.52777778,1.6.2006,Overcast
10.75,9.6.2006,Mostly Cloudy
8.066666667,10.6.2006,Mostly Cloudy
11.08333333,11.6.2006,Partly Cloudy
13.33333333,12.6.2006,Mostly Cloudy
11.59444444,13.6.2006,Mostly Cloudy
12.42777778,14.6.2006,Partly Cloudy
14.38333333,15.6.2006,Partly Cloudy
15.26666667,16.6.2006,Partly Cloudy
18.61666667,17.6.2006,Partly Cloudy
19.28888889,18.6.2006,Partly Cloudy
21.15555556,19.6.2006,Partly Cloudy
10.66111111,2.6.2006,Overcast
18.88333333,20.6.2006,Partly Cloudy
20.93333333,21.6.2006,Partly Cloudy
20.73888889,22.6.2006,Partly Cloudy
18.67222222,23.6.2006,Mostly Cloudy
19.30555556,24.6.2006,Partly Cloudy
21.37222222,25.6.2006,Partly Cloudy
20.62777778,26.6.2006,Clear
21.88333333,27.6.2006,Partly Cloudy
21.67777778,28.6.2006,Partly Cloudy
19.85,29.6.2006,Mostly Cloudy
11.40555556,3.6.2006,Overcast
10.27222222,4.6.2006,Overcast
8.344444444,5.6.2006,Partly Cloudy
10.31666667,6.6.2006,Partly Cloudy
12.38333333,7.6.2006,Overcast
12.7,8.6.2006,Mostly Cloudy
-4.894444444,1.3.2006,Partly Cloudy
2.266666667,9.3.2006,Overcast
3.955555556,10.3.2006,Overcast
2.038888889,11.3.2006,Overcast
0.494444444,12.3.2006,Breezy and Overcast
-1.294444444,13.3.2006,Breezy and Foggy
-0.227777778,14.3.2006,Overcast
0.022222222,15.3.2006,Overcast
1.877777778,16.3.2006,Overcast
2.272222222,17.3.2006,Mostly Cloudy
2.161111111,18.3.2006,Mostly Cloudy
0.305555556,19.3.2006,Clear
-3.594444444,2.3.2006,Foggy
2.188888889,20.3.2006,Clear
7.922222222,21.3.2006,Overcast
9.394444444,22.3.2006,Overcast
2.066666667,23.3.2006,Overcast
1.405555556,24.3.2006,Partly Cloudy
5.85,25.3.2006,Mostly Cloudy
9.644444444,26.3.2006,Overcast
10.57222222,27.3.2006,Partly Cloudy
9.738888889,28.3.2006,Mostly Cloudy
8.55,29.3.2006,Partly Cloudy
2.611111111,3.3.2006,Partly Cloudy
9.15,30.3.2006,Partly Cloudy
8.516666667,4.3.2006,Mostly Cloudy
1.283333333,5.3.2006,Overcast
-1.077777778,6.3.2006,Clear
-2.222222222,7.3.2006,Partly Cloudy
-4.238888889,8.3.2006,Clear
11.13333333,1.5.2006,Overcast
12.62222222,9.5.2006,Partly Cloudy
9.872222222,10.5.2006,Partly Cloudy
8.7,11.5.2006,Mostly Cloudy
10.27222222,12.5.2006,Partly Cloudy
11.99444444,13.5.2006,Mostly Cloudy
14.02777778,14.5.2006,Mostly Cloudy
10.75555556,15.5.2006,Partly Cloudy
14.07777778,16.5.2006,Partly Cloudy
11.98888889,17.5.2006,Partly Cloudy
15.48333333,18.5.2006,Partly Cloudy
13.85555556,19.5.2006,Mostly Cloudy
10.27777778,2.5.2006,Overcast
15.0,20.5.2006,Mostly Cloudy
14.49444444,21.5.2006,Mostly Cloudy
16.30555556,22.5.2006,Partly Cloudy
17.91111111,23.5.2006,Mostly Cloudy
13.58888889,24.5.2006,Mostly Cloudy
11.13888889,25.5.2006,Partly Cloudy
14.51111111,26.5.2006,Mostly Cloudy
15.78333333,27.5.2006,Mostly Cloudy
14.81666667,28.5.2006,Mostly Cloudy
11.26666667,29.5.2006,Overcast
10.61666667,3.5.2006,Mostly Cloudy
10.16111111,30.5.2006,Overcast
8.066666667,4.5.2006,Partly Cloudy
8.044444444,5.5.2006,Clear
6.783333333,6.5.2006,Partly Cloudy
10.51111111,7.5.2006,Partly Cloudy
10.55555556,8.5.2006,Partly Cloudy
1.016666667,31.10.2006,Mostly Cloudy
5.55,1.11.2006,Overcast
6.716666667,9.11.2006,Clear
-0.072222222,10.11.2006,Clear
3.655555556,11.11.2006,Mostly Cloudy
3.188888889,12.11.2006,Mostly Cloudy
6.311111111,13.11.2006,Partly Cloudy
8.072222222,14.11.2006,Mostly Cloudy
8.05,15.11.2006,Partly Cloudy
6.388888889,16.11.2006,Partly Cloudy
9.166666667,17.11.2006,Partly Cloudy
8.833333333,18.11.2006,Mostly Cloudy
