Company Name,Job Title,Salaries Reported,Location,Monthly Salary,Role_Manager,Role_Specialist
Axis Bank,Data Scientist,3,Bangalore,97640.58,0,1
Globex Digital Solutions,Machine Learning,1,Hyderabad,241282.2525,1,0
Tempworks Services,Data Scientist,1,Bangalore,241282.2525,1,0
BlueOptima,Machine Learning,2,Bangalore,98413.75,0,1
Dell Technologies,Data Analyst,5,New Delhi,50244.17,0,1
Algo Engines,Data Engineer,1,Mumbai,100000.0,0,1
Amazon,Data Analyst,3,Bangalore,20098.0,0,1
Optum Global Solutions,Data Analyst,6,New Delhi,101501.0,0,1
Dataction Analytics,Data Analyst,4,Pune,23309.33,0,1
Pexitics,Data Scientist,1,Bangalore,100000.0,0,1
Datafoundry,Data Scientist,1,Bangalore,96540.25,0,1
Monocept,Machine Learning,1,Hyderabad,35112.58,0,1
RDA Labs,Data Scientist,1,Bangalore,166202.67,0,1
QuEST Global,Machine Learning,1,Bangalore,30586.75,0,1
Rodonaves Transportes e Encomendas - RTE,Machine Learning,1,Bangalore,25224.42,0,1
Apical Solutions,Machine Learning,1,Mumbai,84081.25,0,1
AMCORE Financial,Data Scientist,1,Bangalore,150000.0,0,1
PwC,Data Engineer,3,Bangalore,62500.0,0,1
Decimal Point Analytics,Machine Learning,1,Mumbai,62607.17,0,1
EY,Data Analyst,3,Bangalore,28039.0,0,1
Pivosys Technologies,Data Scientist,1,Bangalore,75000.0,0,1
KPIT Technologies,Data Analyst,2,Pune,41676.0,0,1
Fresher Zones,Data Scientist,1,Mumbai,85615.08,0,1
Mindtree,Data Scientist,1,Hyderabad,234250.0,1,0
Unilever,Data Analyst,3,Bangalore,69254.25,0,1
Capgemini,Data Engineer,1,Hyderabad,241282.2525,1,0
Wells Fargo,Data Analyst,3,Bangalore,36790.0,0,1
Qualcomm,Machine Learning,3,Hyderabad,113559.5,0,1
ICE Data Services,Data Analyst,2,Hyderabad,35872.92,0,1
Freshworks,Data Scientist,2,Mumbai,41196.08,0,1
Gojek,Data Engineer,2,Bangalore,164574.0,0,1
Gallagher,Data Analyst,4,Bangalore,24242.0,0,1
Unify,Data Analyst,1,Hyderabad,36956.0,0,1
Yagna iQ,Data Scientist,1,Pune,19505.0,0,1
NovelSynth Soft Solutions,Data Scientist,2,Bangalore,20465.0,0,1
Oracle,Machine Learning,1,Mumbai,134360.33,0,1
GoodWorkLabs Services,Data Scientist,1,Bangalore,93671.92,0,1
Grroom,Machine Learning,1,Mumbai,105554.42,1,0
Amazon,Machine Learning,1,Hyderabad,74308.67,1,0
Solugenix Corporation,Machine Learning,1,Hyderabad,23306.0,0,1
Data Gyan,Data Analyst,3,Bangalore,15073.0,0,1
Data Semantics,Data Scientist,3,Bangalore,30184.08,0,1
Amazon,Machine Learning,6,Hyderabad,24592.83,0,1
Meeami Technologies,Machine Learning,1,Hyderabad,155395.67,0,1
IBM,Data Scientist,3,Mumbai,99426.67,0,1
Adani Group,Data Scientist,1,Mumbai,7975.0,0,1
Novozymes,Data Scientist,1,Bangalore,153498.92,0,1
Wall & Associates,Data Engineer,1,Hyderabad,54207.0,0,1
Capital One,Data Engineer,6,Bangalore,137398.92,0,1
CAET Project Management Consultants,Data Scientist,1,Bangalore,83333.33,0,1
Mesh (CA),Machine Learning,2,New Delhi,100871.0,0,1
Google,Machine Learning,1,New Delhi,241282.2525,1,0
Bounce,Data Scientist,1,Bangalore,154651.83,0,1
EY,Data Engineer,2,Bangalore,50797.08,0,1
Pratilipi,Data Scientist,1,Bangalore,241282.2525,0,1
Tata Research Development and Design Centre,Data Scientist,1,Pune,105622.67,0,1
Procter & Gamble,Data Engineer,1,Hyderabad,214717.83,0,1
RentoMojo,Data Analyst,3,Bangalore,48085.08,0,1
Oxigen,Data Engineer,1,Bangalore,31862.58,0,1
Mu Sigma,Data Engineer,1,Hyderabad,83740.33,0,1
Santronix,Data Engineer,1,Pune,15073.0,0,1
udaan.com,Data Analyst,8,Bangalore,38341.0,0,1
Kabbage,Data Analyst,6,Bangalore,73579.67,0,1
Motorola Solutions,Machine Learning,1,Bangalore,100000.0,0,1
Pivotchain Solutions,Data Scientist,1,Pune,50244.75,0,1
Wipro Technologies,Data Scientist,8,Bangalore,54842.42,0,1
Mass Technologies,Data Analyst,1,Pune,30000.0,0,1
Adobe,Data Scientist,1,Bangalore,101398.0,0,1
Indium Software,Data Engineer,1,Hyderabad,28334.0,0,1
Verificient Technologies,Data Analyst,3,New Delhi,12515.0,0,1
Birlasoft,Data Engineer,2,Pune,166868.17,0,1
Lincode,Data Scientist,1,Bangalore,50698.92,0,1
Hakkasan Group,Data Scientist,1,Bangalore,168813.33,1,0
Cognizant,Data Scientist,1,Hyderabad,150000.0,0,1
EMPLOYERS,Data Analyst,4,Bangalore,26401.75,0,1
Multiplier Solutions,Data Analyst,1,Hyderabad,23443.0,0,1
Cvent,Data Analyst,3,New Delhi,63366.92,0,1
NatWest Group,Data Engineer,4,New Delhi,241282.2525,0,1
Xento Systems,Senior Data Scientist,1,Pune,93790.25,0,1
HERE Technologies,Data Scientist,2,Mumbai,41940.0,0,1
Veoneer,Machine Learning,1,Bangalore,36345.33,0,1
DXC Technology,Data Engineer,1,Hyderabad,109776.33,0,1
Lumen,Data Engineer,6,Bangalore,57871.67,0,1
SG Analytics,Data Scientist,7,Pune,68078.83,0,1
First Student,Data Scientist,4,New Delhi,54959.0,0,1
American Express,Machine Learning,1,New Delhi,158370.25,0,1
Amar Singh Chawal Wala,Data Scientist,1,Bangalore,141150.25,0,1
Sakon,Data Analyst,2,Pune,23253.0,0,1
Mphasis,Data Analyst,1,Mumbai,115042.33,1,0
Accenture,Data Scientist,2,Mumbai,185587.42,1,0
EdGe Networks,Data Scientist,1,Bangalore,241282.2525,1,0
BankBazaar,Data Scientist,1,Bangalore,85232.17,0,1
Atos-Syntel,Data Analyst,4,Mumbai,26431.92,0,1
Octro,Data Scientist,1,New Delhi,241282.2525,1,0
Institute of Engineering & Management,Data Scientist,1,Bangalore,142360.17,0,1
,Machine Learning,1,Pune,56465.0,0,1
Dayananda Sagar College of Engineering,Data Scientist,1,Bangalore,51550.58,0,1
Toppr.com,Data Scientist,1,Mumbai,34314.0,0,1
Automation Anywhere,Data Scientist,1,Bangalore,241282.2525,0,1
PokerStars,Data Analyst,1,Hyderabad,71658.83,0,1
Unilog Content Solutions,Data Analyst,4,Bangalore,18404.0,0,1
Cipla,Data Engineer,1,Mumbai,241282.2525,1,0
Tuple Technologies,Machine Learning,1,New Delhi,55649.75,0,1
Ankit R Jain & Associates,Data Scientist,1,Bangalore,50000.0,0,1
Quale Infotech,Machine Learning,2,Bangalore,55416.67,0,1
LTI,Data Analyst,2,Mumbai,21942.0,0,1
IBM,Data Engineer,3,Mumbai,84841.25,0,1
eHaat,Data Analyst,1,Hyderabad,28232.67,0,1
Tata Consultancy Services,Data Scientist,2,Bangalore,118986.0,0,1
HDFC ERGO Health Insurance,Data Scientist,1,Bangalore,41666.67,0,1
Cimpress,Data Analyst,1,Mumbai,65876.25,0,1
yellow.ai,Data Scientist,1,Bangalore,34249.5,0,1
UPL,Data Scientist,2,Mumbai,82637.75,0,1
MAERSK,Data Engineer,4,Pune,66737.33,0,1
Infosys,Machine Learning,1,Hyderabad,59082.92,0,1
EY,Data Analyst,5,Bangalore,111648.25,1,0
Eat Local Eat Natural,Data Scientist,1,Bangalore,70692.83,1,0
Robert Bosch India,Data Scientist,6,Bangalore,86707.75,0,1
